eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
2574.72,-1383.525019,1880,0.004234199,0.037693024,7.496025,-0.0007802296,3545.8794,0.0028205513954162598,60,122880,7093.69035848137,15728640
2597.89,-1847.2927716700003,1756,0.004254963,0.037470628,7.4652567,-0.0006769033,2755.1675,0.00375443696975708,61,124928,7242.9602576689795,15990784
3113.47,-2083.7089439500005,2121,0.0046095597,0.0452137,7.4173975,-0.000679497,2481.8489,0.004654943943023682,62,126976,7366.561433536001,16252928
2698.25,-1808.9106855,1820,0.0051813656,0.053772736,7.366973,-0.00081587926,3245.9019,0.0041010379791259766,63,129024,7510.552347008139,16515072
2480.55,-1473.5135225299998,1662,0.004492202,0.044422913,7.3483977,-0.00070744834,3671.1152,0.006031453609466553,64,131072,7668.283850012347,16777216
2393.63,-1411.5167781700002,1814,0.004635664,0.0440258,7.3369293,-0.0006969871,3227.3147,0.005355656147003174,65,133120,7812.765564758331,17039360
2053.09,-1335.6802954499997,1341,0.004407143,0.041124344,7.3151574,-0.0008591788,4850.3853,0.005210161209106445,66,135168,8008.187812064774,17301504
1929.26,-1051.92198961,1281,0.004762939,0.045510102,7.284143,-0.0010025243,5505.824,0.006863713264465332,67,137216,8212.785986540839,17563648
2058.61,-726.2761646,1653,0.0043701073,0.04154091,7.261869,-0.0008746013,5897.865,0.006651937961578369,68,139264,8371.335418662988,17825792
1812.61,-665.4231217300002,1544,0.005222294,0.050076295,7.224551,-0.0010483465,5774.653,0.00766521692276001,69,141312,8541.118804786354,18087936
1982.97,-1087.72567532,1382,0.0043772412,0.04057007,7.1890473,-0.00088072306,5909.5874,0.008457660675048828,70,143360,8730.770451806486,18350080
1389.56,-628.73908742,1221,0.0040097996,0.03434334,7.1730185,-0.00077463756,6995.171,0.009237408638000488,71,145408,8945.432692432776,18612224
1616.82,-1004.6197495499999,1168,0.0048927115,0.049159624,7.1471786,-0.0010237743,6384.203,0.009152472019195557,72,147456,9169.790424671024,18874368
1328.49,-485.52750805000005,1182,0.0051588533,0.053783037,7.1112504,-0.0011818036,6449.268,0.010390818119049072,73,149504,9391.46346509736,19136512
1555.86,-567.40474945,1134,0.004515643,0.04061966,7.072789,-0.00091085536,7071.147,0.010889589786529541,74,151552,9622.57653584145,19398656
1818.64,-885.80736322,1287,0.0044911453,0.041916274,7.0322013,-0.00067183125,6597.7017,0.01214146614074707,75,153600,9826.203222529031,19660800
1786.8,-1134.7329222099997,1140,0.004778872,0.04973831,7.015565,-0.00081285473,5540.9834,0.012189805507659912,76,155648,10055.980307124555,19922944
